#Title: Towards Detecting The 2175 Angstrom Dust Feature Associated With Strong
#       High Redshift Mg II Absorption Lines
#Authors: Jiang P., Ge J., Zhou H., Wang J., Wang T.
#Table: Median Composite DR7 Quasar Spectrum
#================================================================================
#Byte-by-byte Description of file: apj387309t1_mrt.txt
#--------------------------------------------------------------------------------
#   Bytes Format Units   Label  Explanations
#--------------------------------------------------------------------------------
#   1-  6 F6.1   0.1nm   Wave   Wavelength; in Angstroms
#   8- 14 F7.3   ---     flamb  Monochromatic flux; arbitrary units
#  16- 20 F5.3   ---   e_flamb  Uncertainty in flamb
#--------------------------------------------------------------------------------
1150.0  33.865 0.070
1151.0  34.005 0.069
1152.0  34.112 0.069
1153.0  33.984 0.068
1154.0  34.130 0.068
1155.0  34.373 0.068
1156.0  34.364 0.068
1157.0  34.602 0.068
1158.0  34.621 0.067
1159.0  34.601 0.068
1160.0  34.592 0.068
1161.0  35.034 0.068
1162.0  35.424 0.067
1163.0  35.433 0.067
1164.0  35.652 0.067
1165.0  35.979 0.067
1166.0  36.301 0.067
1167.0  36.068 0.066
1168.0  36.240 0.066
1169.0  37.125 0.066
1170.0  38.107 0.067
1171.0  38.098 0.066
1172.0  38.826 0.066
1173.0  39.346 0.066
1174.0  39.291 0.066
1175.0  39.790 0.066
1176.0  40.720 0.066
1177.0  41.059 0.066
1178.0  40.606 0.065
1179.0  40.300 0.064
1180.0  41.042 0.065
1181.0  41.320 0.065
1182.0  41.135 0.064
1183.0  41.661 0.065
1184.0  43.337 0.066
1185.0  44.107 0.065
1186.0  44.052 0.064
1187.0  44.057 0.064
1188.0  44.876 0.064
1189.0  46.638 0.065
1190.0  48.197 0.065
1191.0  48.691 0.065
1192.0  49.495 0.065
1193.0  50.978 0.065
1194.0  52.190 0.065
1195.0  52.255 0.065
1196.0  54.031 0.065
1197.0  56.476 0.067
1198.0  57.604 0.066
1199.0  58.162 0.066
1200.0  59.688 0.066
1201.0  62.631 0.067
1202.0  65.205 0.068
1203.0  66.440 0.068
1204.0  68.592 0.068
1205.0  72.425 0.068
1206.0  75.544 0.069
1207.0  78.684 0.069
1208.0  82.309 0.069
1209.0  86.635 0.069
1210.0  91.843 0.070
1211.0  96.639 0.070
1212.0 102.087 0.070
1213.0 109.408 0.071
1214.0 115.814 0.071
1215.0 120.160 0.072
1216.0 122.729 0.072
1217.0 122.027 0.072
1218.0 120.596 0.073
1219.0 118.374 0.073
1220.0 114.590 0.072
1221.0 110.679 0.071
1222.0 106.738 0.071
1223.0 103.152 0.070
1224.0  99.368 0.069
1225.0  96.804 0.068
1226.0  94.115 0.067
1227.0  92.411 0.067
